Gene_ID,Gene_Name,Colon_FoldChange,Colon_pValue,Lung_FoldChange,Lung_pValue,Abs_Colon_FoldChange,Abs_Lung_FoldChange
ENSG00000178750,STX19,-0.4,0.590958100174518,-1.5,0.0258614802791141,0.4,1.5
ENSG00000178826,TMEM139,-1.2,0.198639341831918,-3.1,6.36890732316415e-05,1.2,3.1
ENSG00000178860,MSC,-1.4,0.0757958764446184,2.3,0.0128540020369931,1.4,2.3
ENSG00000178882,RFLNA,-2.7,4.23509528631222e-05,3.0,0.0099719503953012,2.7,3.0
ENSG00000178999,AURKB,-0.6,0.493262879198195,2.7,0.0212737387218182,0.6,2.7
ENSG00000179057,IGSF22,-2.6,0.0012625414471561,-2.6,0.0026834873215949,2.6,2.6
ENSG00000179082,C9orf106,-3.1,0.000578836810073358,-3.6,2.51899067614463e-05,3.1,3.6
ENSG00000179088,C12orf42,-0.4,0.788620022513812,2.3,0.0162707726130161,0.4,2.3
ENSG00000179133,C10orf67,-1.4,0.311572368271569,-2.5,0.0100265427117539,1.4,2.5
ENSG00000179136,LINC00670,-0.6,0.572478037717197,-2.2,0.000965988620747141,0.6,2.2
ENSG00000179178,TMEM125,-1.7,0.0880656760557125,-2.1,0.0114812521524139,1.7,2.1
ENSG00000179256,SMCO3,-0.1,0.935904342677886,-1.5,0.0188954761034889,0.1,1.5
ENSG00000179399,GPC5,-0.3,0.755143823509633,-1.5,0.0357560280443791,0.3,1.5
ENSG00000179546,HTR1D,-1.7,0.118523169658658,-2.5,0.0377671932287604,1.7,2.5
ENSG00000179603,GRM8,-1.7,0.0573051018446377,-3.7,1.00859288568589e-05,1.7,3.7
ENSG00000179639,FCER1A,-4.5,2.6357651590659e-10,-3.2,6.06240172136527e-05,4.5,3.2
ENSG00000179698,WDR97,-0.3,0.809389471021104,-2.4,0.0102220636565809,0.3,2.4
ENSG00000179715,PCED1B,-0.1,0.947568791082262,-1.5,0.0065557652397558,0.1,1.5
ENSG00000179761,PIPOX,-0.9,0.281481301979426,-3.3,0.000142500552676972,0.9,3.3
ENSG00000179886,TIGD5,-0.9,0.293061629695486,-2.8,0.0027752413973908,0.9,2.8
ENSG00000179922,ZNF784,-3.7,1.67901898631007e-08,-2.8,0.000551560452212529,3.7,2.8
ENSG00000180139,ACTA2-AS1,-0.5,0.530724733610817,-2.4,0.000531285532130497,0.5,2.4
ENSG00000180198,RCC1,0.2,0.764378435309576,1.6,0.0109984908990987,0.2,1.6
ENSG00000180347,ITPRID1,0.7,0.510849236338552,-3.1,2.29213032894764e-09,0.7,3.1
ENSG00000180354,MTURN,1.0,0.0130239828443398,-1.6,6.86208253867962e-07,1.0,1.6
ENSG00000180440,SERTM1,0.6,0.653568817729631,-2.1,0.0256836854132208,0.6,2.1
ENSG00000180573,H2AC6,0.3,0.525032508213959,1.8,1.52191048694553e-06,0.3,1.8
ENSG00000180596,H2BC4,-0.3,0.484946959326478,1.6,0.00016433354628402,0.3,1.6
ENSG00000180638,SLC47A2,-4.1,2.25869356478745e-06,-2.1,0.0203212606476104,4.1,2.1
ENSG00000180739,S1PR5,-1.2,0.295742770427216,-2.1,0.0311668129032848,1.2,2.1
ENSG00000180772,AGTR2,0.7,0.687554667933672,-2.6,0.009833575589539,0.7,2.6
ENSG00000180861,LINC01559,-1.8,0.0992582223182944,2.5,0.0425182646979326,1.8,2.5
ENSG00000180871,CXCR2,-1.3,0.194861110931959,1.7,0.021132292909735,1.3,1.7
ENSG00000180875,GREM2,0.5,0.40813716935645,-1.7,0.0096252078635157,0.5,1.7
ENSG00000180953,ST20,-0.2,0.863766087603636,1.8,0.0010367167331322,0.2,1.8
ENSG00000181016,LSMEM1,-0.5,0.540308370968561,1.8,0.0041171733830547,0.5,1.8
ENSG00000181126,HLA-V,-0.3,0.805591214866343,-1.5,0.0383977994555952,0.3,1.5
ENSG00000181234,TMEM132C,0.1,0.919441346399955,-2.1,0.0024710263311769,0.1,2.1
ENSG00000181374,CCL13,0.5,0.647967032853895,2.0,0.0136707335635803,0.5,2.0
ENSG00000181585,TMIE,-2.3,0.060326440326877,-3.8,0.000848027720954619,2.3,3.8
ENSG00000181609,OR52D1,-0.6,0.69573712148872,-2.5,0.0095049561983887,0.6,2.5
ENSG00000181616,OR52H1,-0.6,0.520091937636757,-1.5,0.0485985305906175,0.6,1.5
ENSG00000181649,PHLDA2,-0.3,0.744302840346604,2.7,0.0055223211980096,0.3,2.7
ENSG00000181656,GPR88,0.2,0.820765324685734,2.7,0.0121713129340156,0.2,2.7
ENSG00000182010,RTKN2,-0.3,0.712391401829644,-4.3,2.49596538590482e-26,0.3,4.3
ENSG00000182255,KCNA4,-0.2,0.870626169886798,-2.3,0.0061864926256438,0.2,2.3
ENSG00000182397,DNM1P46,-1.4,0.134382259918461,-2.0,0.0203884243416515,1.4,2.0
ENSG00000182481,KPNA2,0.3,0.591390044002563,1.7,2.77593505580895e-05,0.3,1.7
ENSG00000182533,CAV3,-0.8,0.601163162916643,-2.4,0.0363109232959625,0.8,2.4
ENSG00000182648,LINC01006,-1.1,0.0496732225566989,-1.5,0.0453684237113508,1.1,1.5
ENSG00000182667,NTM,-0.5,0.450133763852063,-2.5,0.002619691799669,0.5,2.5
ENSG00000182674,KCNB2,0.1,0.932114285035204,-2.9,0.0066185501327654,0.1,2.9
ENSG00000182752,PAPPA,0.2,0.540770187311184,1.5,0.0020785400064202,0.2,1.5
ENSG00000182791,CCDC87,-0.1,0.928244051827097,-3.5,0.002793805056789,0.1,3.5
ENSG00000182795,C1orf116,-2.0,0.0260568878815225,-1.8,0.00080970459914306,2.0,1.8
ENSG00000182902,SLC25A18,-1.8,0.0053008921168252,-2.4,0.0156778957003749,1.8,2.4
ENSG00000182950,ODF3L1,-2.6,0.016918730653589,-2.6,0.0178771736684746,2.6,2.6
ENSG00000182983,ZNF662,-0.1,0.786361652112963,-1.9,1.26325355207185e-07,0.1,1.9
ENSG00000182993,C12orf60,0.1,0.932066470091152,-1.9,0.0078414755020544,0.1,1.9
ENSG00000183019,MCEMP1,-1.1,0.351538111495487,-1.8,0.0023005209906603,1.1,1.8
ENSG00000183091,NEB,-1.1,0.0216165378305601,-1.5,3.84064940518275e-05,1.1,1.5
ENSG00000183145,RIPPLY3,-0.5,0.745316670571529,-3.1,0.000783661340069458,0.5,3.1
ENSG00000183239,ENSG00000183239,-0.9,0.461361980040444,-3.6,3.85483004902182e-05,0.9,3.6
ENSG00000183251,OR51B4,-1.7,0.233030327718286,-2.4,0.0474830108553835,1.7,2.4
ENSG00000183378,OVCH2,-2.4,0.0295032041230601,-3.2,1.23058974750365e-05,2.4,3.2
